matchID, participant, champ, Win, FirstBlood, firstTower, firstTowerAssist, Kills, Assists, Deaths, GoldEarned, GoldSpent, TotalDamageDealt, MagicDamageDealt, PhysicalDamageDealt, TotalDamageTaken, MinionsKilled, CrowdControl, WardsPlaced
2026610783 , 1 , Karma , 1 , 0 , 0 , 0 , 2 , 8 , 1 , 6865 , 6750 , 14753 , 10958 , 3795 , 8073 , 20 , 163 , 16 , 
2026610783 , 2 , Caitlyn , 1 , 0 , 0 , 0 , 2 , 3 , 3 , 8014 , 5775 , 70972 , 351 , 70621 , 7410 , 136 , 20 , 6 , 
2026610783 , 3 , Orianna , 1 , 0 , 0 , 0 , 3 , 7 , 0 , 8440 , 8475 , 73049 , 58114 , 14614 , 6848 , 137 , 804 , 6 , 
2026610783 , 4 , DrMundo , 1 , 0 , 0 , 0 , 7 , 5 , 1 , 8974 , 6950 , 88251 , 48669 , 32565 , 17087 , 20 , 553 , 14 , 
2026610783 , 5 , Jax , 1 , 1 , 0 , 0 , 7 , 4 , 3 , 10090 , 10050 , 107504 , 41837 , 64842 , 15120 , 133 , 34 , 6 , 
2026610783 , 6 , Janna , 0 , 0 , 0 , 1 , 1 , 6 , 5 , 5634 , 5525 , 7375 , 3649 , 2563 , 9664 , 12 , 94 , 12 , 
2026610783 , 7 , Jinx , 0 , 0 , 1 , 0 , 1 , 5 , 3 , 6803 , 6400 , 71995 , 779 , 69493 , 8234 , 130 , 87 , 7 , 
2026610783 , 8 , Elise , 0 , 0 , 0 , 1 , 3 , 4 , 3 , 6961 , 6550 , 77351 , 50715 , 21002 , 14033 , 35 , 315 , 10 , 
2026610783 , 9 , Olaf , 0 , 0 , 0 , 0 , 2 , 1 , 8 , 6682 , 6200 , 64080 , 0 , 58906 , 15385 , 105 , 287 , 7 , 
2026610783 , 10 , TwistedFate , 0 , 0 , 0 , 0 , 1 , 1 , 2 , 6739 , 6425 , 83398 , 74032 , 9365 , 9442 , 110 , 96 , 12 , 
2026610843 , 1 , Leblanc , 1 , 0 , 0 , 0 , 17 , 3 , 4 , 12791 , 10550 , 87872 , 68500 , 18024 , 16073 , 126 , 102 , 4 , 
2026610843 , 2 , Vi , 1 , 0 , 0 , 0 , 18 , 7 , 1 , 14372 , 12125 , 143648 , 14687 , 120616 , 17682 , 34 , 553 , 8 , 
2026610843 , 3 , Malphite , 1 , 0 , 0 , 0 , 8 , 11 , 4 , 12544 , 11025 , 130843 , 100252 , 30591 , 19027 , 189 , 1900 , 11 , 
2026610843 , 4 , Vayne , 1 , 0 , 0 , 0 , 4 , 5 , 4 , 11370 , 8550 , 123435 , 4830 , 102490 , 13890 , 162 , 129 , 10 , 
2026610843 , 5 , Shen , 1 , 0 , 0 , 0 , 6 , 25 , 6 , 11445 , 9650 , 43546 , 19915 , 17164 , 27868 , 56 , 77 , 8 , 
2026610843 , 6 , LeeSin , 0 , 0 , 0 , 0 , 1 , 7 , 9 , 8410 , 16152 , 89935 , 14230 , 65737 , 24037 , 27 , 658 , 12 , 
2026610843 , 7 , MissFortune , 0 , 0 , 1 , 0 , 3 , 8 , 9 , 10402 , 10025 , 114203 , 12144 , 101675 , 16300 , 183 , 181 , 10 , 
2026610843 , 8 , Brand , 0 , 1 , 0 , 0 , 8 , 4 , 8 , 8827 , 7700 , 32830 , 29817 , 2651 , 16037 , 9 , 277 , 11 , 
2026610843 , 9 , Jax , 0 , 0 , 0 , 0 , 3 , 1 , 13 , 8686 , 8450 , 109944 , 40263 , 69680 , 26124 , 156 , 90 , 9 , 
2026610843 , 10 , Zed , 0 , 0 , 0 , 0 , 4 , 3 , 14 , 8083 , 7300 , 61630 , 4023 , 57016 , 22067 , 106 , 65 , 6 , 
2026610844 , 1 , LeeSin , 0 , 0 , 0 , 0 , 3 , 17 , 11 , 12217 , 11325 , 128474 , 24852 , 92772 , 44659 , 54 , 623 , 15 , 
2026610844 , 2 , DrMundo , 0 , 0 , 0 , 0 , 3 , 19 , 7 , 11261 , 11000 , 61185 , 35367 , 19958 , 48348 , 48 , 191 , 11 , 
2026610844 , 3 , Lux , 0 , 0 , 0 , 0 , 19 , 14 , 4 , 17918 , 16150 , 209785 , 190068 , 18655 , 15337 , 208 , 331 , 6 , 
2026610844 , 4 , Garen , 0 , 0 , 0 , 0 , 12 , 9 , 7 , 15930 , 14600 , 173588 , 3954 , 160996 , 50688 , 214 , 358 , 13 , 
2026610844 , 5 , Lucian , 0 , 0 , 0 , 0 , 2 , 9 , 7 , 12578 , 11500 , 163550 , 18523 , 143230 , 22517 , 181 , 63 , 9 , 
2026610844 , 6 , Riven , 1 , 0 , 0 , 0 , 7 , 11 , 10 , 14228 , 13725 , 153441 , 2002 , 137299 , 31113 , 51 , 344 , 11 , 
2026610844 , 7 , Thresh , 1 , 0 , 0 , 1 , 3 , 19 , 8 , 12047 , 10025 , 37741 , 27829 , 9911 , 32609 , 37 , 201 , 23 , 
2026610844 , 8 , Nasus , 1 , 1 , 0 , 0 , 8 , 10 , 8 , 14962 , 14150 , 185681 , 43269 , 141188 , 51513 , 204 , 2731 , 14 , 
2026610844 , 9 , Viktor , 1 , 0 , 0 , 0 , 4 , 7 , 10 , 15480 , 15675 , 255635 , 223711 , 30611 , 25038 , 265 , 50 , 17 , 
2026610844 , 10 , Graves , 1 , 0 , 1 , 0 , 14 , 7 , 4 , 18980 , 17000 , 275514 , 33039 , 237782 , 26536 , 305 , 414 , 13 , 
2026610846 , 1 , Jax , 0 , 0 , 0 , 0 , 0 , 1 , 6 , 7430 , 7125 , 107917 , 36847 , 63302 , 16478 , 27 , 483 , 5 , 
2026610846 , 2 , Kalista , 0 , 1 , 0 , 0 , 4 , 2 , 4 , 8814 , 8450 , 85220 , 6107 , 77857 , 10780 , 138 , 339 , 6 , 
2026610846 , 3 , Irelia , 0 , 0 , 0 , 0 , 2 , 4 , 6 , 7229 , 6875 , 46722 , 3708 , 40133 , 22545 , 108 , 50 , 6 , 
2026610846 , 4 , Brand , 0 , 0 , 0 , 0 , 3 , 6 , 6 , 7040 , 6600 , 32526 , 29247 , 2706 , 11079 , 19 , 26 , 11 , 
2026610846 , 5 , Annie , 0 , 0 , 0 , 0 , 6 , 2 , 5 , 8868 , 8350 , 85619 , 73865 , 10846 , 12125 , 146 , 103 , 7 , 
2026610846 , 6 , Jinx , 1 , 0 , 0 , 0 , 14 , 5 , 2 , 12741 , 10250 , 115713 , 2743 , 112682 , 10988 , 150 , 121 , 9 , 
2026610846 , 7 , Udyr , 1 , 0 , 0 , 0 , 4 , 8 , 3 , 9871 , 8900 , 127691 , 65764 , 52941 , 21176 , 23 , 338 , 5 , 
2026610846 , 8 , Vladimir , 1 , 0 , 1 , 0 , 2 , 10 , 2 , 9951 , 8550 , 95448 , 76492 , 18956 , 15717 , 147 , 45 , 6 , 
2026610846 , 9 , TwistedFate , 1 , 0 , 0 , 0 , 6 , 11 , 3 , 11488 , 11000 , 124854 , 107739 , 15581 , 11731 , 139 , 409 , 9 , 
2026610846 , 10 , Blitzcrank , 1 , 0 , 0 , 0 , 1 , 11 , 5 , 7698 , 5450 , 23790 , 14634 , 6727 , 16238 , 29 , 51 , 19 , 
2026610850 , 1 , Ahri , 1 , 0 , 0 , 0 , 17 , 8 , 2 , 11901 , 11550 , 81429 , 42090 , 16262 , 11684 , 95 , 112 , 7 , 
2026610850 , 2 , Twitch , 1 , 0 , 1 , 0 , 13 , 11 , 3 , 11638 , 10450 , 74588 , 56 , 68093 , 15442 , 98 , 256 , 5 , 
2026610850 , 3 , Amumu , 1 , 0 , 0 , 0 , 0 , 6 , 2 , 8102 , 7875 , 109310 , 78704 , 21075 , 15019 , 35 , 285 , 4 , 
2026610850 , 4 , DrMundo , 1 , 0 , 0 , 0 , 3 , 5 , 3 , 8287 , 8075 , 76557 , 49885 , 26671 , 16142 , 131 , 277 , 4 , 
2026610850 , 5 , TahmKench , 1 , 1 , 0 , 1 , 5 , 15 , 4 , 7972 , 7700 , 30584 , 20191 , 8077 , 20439 , 19 , 167 , 13 , 
2026610850 , 6 , Skarner , 0 , 0 , 0 , 0 , 4 , 4 , 9 , 7073 , 6775 , 63681 , 12222 , 47004 , 21541 , 15 , 378 , 4 , 
2026610850 , 7 , Sona , 0 , 0 , 0 , 0 , 2 , 8 , 6 , 6874 , 6550 , 30115 , 20633 , 9481 , 12761 , 28 , 32 , 10 , 
2026610850 , 8 , Galio , 0 , 0 , 0 , 0 , 2 , 3 , 9 , 7207 , 6320 , 72657 , 64408 , 7756 , 19108 , 127 , 351 , 8 , 
2026610850 , 9 , Hecarim , 0 , 0 , 0 , 0 , 4 , 0 , 4 , 8434 , 8050 , 76146 , 7262 , 67332 , 24678 , 158 , 130 , 8 , 
2026610850 , 10 , Jinx , 0 , 0 , 0 , 0 , 2 , 4 , 10 , 6667 , 5700 , 49919 , 1391 , 48527 , 13861 , 88 , 49 , 6 , 
2026610856 , 1 , Vayne , 1 , 0 , 0 , 0 , 17 , 8 , 5 , 16536 , 15900 , 179960 , 37683 , 127656 , 26295 , 177 , 164 , 11 , 
2026610856 , 2 , Shyvana , 1 , 0 , 0 , 0 , 9 , 10 , 5 , 13711 , 12560 , 155652 , 95822 , 47166 , 40358 , 74 , 556 , 7 , 
2026610856 , 3 , TwistedFate , 1 , 0 , 0 , 0 , 7 , 17 , 6 , 13954 , 12585 , 130758 , 115458 , 15300 , 18351 , 128 , 254 , 10 , 
2026610856 , 4 , Malphite , 1 , 0 , 0 , 0 , 7 , 14 , 5 , 13211 , 11225 , 87837 , 62484 , 24000 , 22177 , 134 , 2035 , 11 , 
2026610856 , 5 , Bard , 1 , 0 , 0 , 0 , 2 , 17 , 9 , 10914 , 9550 , 33755 , 22127 , 11627 , 24367 , 63 , 220 , 10 , 
2026610856 , 6 , Karthus , 0 , 0 , 0 , 0 , 11 , 6 , 9 , 13912 , 11425 , 179555 , 170980 , 8574 , 23607 , 180 , 297 , 10 , 
2026610856 , 7 , Nami , 0 , 0 , 0 , 1 , 4 , 17 , 8 , 11552 , 10900 , 34050 , 22376 , 11674 , 21074 , 23 , 402 , 12 , 
2026610856 , 8 , Warwick , 0 , 0 , 0 , 0 , 1 , 13 , 11 , 11207 , 10560 , 123023 , 53126 , 57345 , 44362 , 31 , 174 , 19 , 
2026610856 , 9 , Jinx , 0 , 0 , 1 , 0 , 7 , 8 , 7 , 12763 , 11800 , 131525 , 5725 , 125295 , 23706 , 170 , 113 , 6 , 
2026610856 , 10 , Quinn , 0 , 1 , 0 , 0 , 7 , 7 , 8 , 11574 , 10875 , 100410 , 8756 , 87890 , 22480 , 133 , 159 , 16 , 
2026610858 , 1 , Lux , 1 , 0 , 0 , 0 , 17 , 14 , 8 , 17285 , 15500 , 169753 , 149256 , 20497 , 22884 , 143 , 345 , 13 , 
2026610858 , 2 , Jinx , 1 , 0 , 0 , 0 , 12 , 6 , 6 , 18314 , 15475 , 256697 , 2927 , 251805 , 23940 , 254 , 266 , 10 , 
2026610858 , 3 , Sejuani , 1 , 0 , 0 , 0 , 0 , 22 , 7 , 12350 , 11125 , 53569 , 33498 , 14165 , 42537 , 50 , 182 , 33 , 
2026610858 , 4 , DrMundo , 1 , 0 , 0 , 0 , 7 , 17 , 10 , 16601 , 15150 , 239790 , 134161 , 88727 , 76200 , 79 , 1172 , 12 , 
2026610858 , 5 , Shen , 1 , 0 , 0 , 0 , 8 , 24 , 8 , 17287 , 17000 , 167001 , 103260 , 63740 , 44358 , 177 , 102 , 18 , 
2026610858 , 6 , Braum , 0 , 0 , 0 , 0 , 2 , 22 , 7 , 12249 , 10750 , 34323 , 14792 , 11706 , 44445 , 41 , 1241 , 24 , 
2026610858 , 7 , Shaco , 0 , 1 , 0 , 0 , 9 , 14 , 11 , 15436 , 14400 , 188853 , 34295 , 140211 , 33834 , 101 , 1191 , 17 , 
2026610858 , 8 , Sivir , 0 , 0 , 0 , 0 , 9 , 17 , 8 , 18000 , 17900 , 294407 , 31001 , 259259 , 28968 , 316 , 230 , 12 , 
2026610858 , 9 , Renekton , 0 , 0 , 1 , 0 , 7 , 15 , 10 , 15365 , 15000 , 196181 , 11116 , 183717 , 53100 , 221 , 146 , 12 , 
2026610858 , 10 , Brand , 0 , 0 , 0 , 0 , 12 , 12 , 8 , 15542 , 15095 , 191964 , 165348 , 24816 , 33183 , 163 , 1167 , 15 , 
2026610907 , 1 , Lucian , 0 , 0 , 1 , 0 , 9 , 11 , 10 , 14937 , 14650 , 182235 , 10466 , 170764 , 27013 , 220 , 264 , 12 , 
2026610907 , 2 , TwistedFate , 0 , 0 , 0 , 1 , 11 , 9 , 8 , 14794 , 14875 , 162303 , 145564 , 16739 , 24402 , 179 , 345 , 12 , 
2026610907 , 3 , Gragas , 0 , 0 , 0 , 0 , 4 , 12 , 6 , 12105 , 11950 , 138805 , 96851 , 32259 , 42218 , 63 , 804 , 16 , 
2026610907 , 4 , Malphite , 0 , 0 , 0 , 0 , 4 , 12 , 7 , 11828 , 11400 , 117960 , 82065 , 35895 , 26708 , 163 , 913 , 6 , 
2026610907 , 5 , Karma , 0 , 0 , 0 , 0 , 4 , 17 , 9 , 12107 , 11300 , 34855 , 29046 , 5529 , 22921 , 39 , 969 , 39 , 
2026610907 , 6 , Gangplank , 1 , 0 , 0 , 0 , 5 , 20 , 6 , 17477 , 16775 , 283917 , 18710 , 253527 , 28622 , 260 , 922 , 21 , 
2026610907 , 7 , TahmKench , 1 , 0 , 0 , 0 , 10 , 5 , 5 , 14342 , 13660 , 183869 , 135021 , 33268 , 67498 , 29 , 866 , 13 , 
2026610907 , 8 , Twitch , 1 , 1 , 0 , 0 , 12 , 11 , 8 , 17129 , 16100 , 227685 , 2392 , 213152 , 22205 , 226 , 522 , 13 , 
2026610907 , 9 , Lulu , 1 , 0 , 0 , 0 , 7 , 23 , 5 , 13879 , 11275 , 52828 , 42548 , 10028 , 20399 , 34 , 583 , 34 , 
2026610907 , 10 , Malzahar , 1 , 0 , 0 , 0 , 6 , 10 , 8 , 13969 , 12950 , 145011 , 111581 , 32419 , 26827 , 190 , 1254 , 15 , 
2026610909 , 1 , DrMundo , 1 , 0 , 0 , 0 , 8 , 8 , 2 , 11913 , 9925 , 115221 , 67694 , 47526 , 29421 , 146 , 174 , 5 , 
2026610909 , 2 , Vayne , 1 , 0 , 0 , 0 , 11 , 6 , 6 , 11857 , 11850 , 92491 , 2713 , 77897 , 17921 , 99 , 328 , 10 , 
2026610909 , 3 , Annie , 1 , 0 , 0 , 0 , 5 , 9 , 5 , 10379 , 9300 , 82554 , 65323 , 16988 , 13530 , 130 , 55 , 3 , 
2026610909 , 4 , Teemo , 1 , 1 , 0 , 0 , 8 , 8 , 2 , 12041 , 10350 , 160620 , 99244 , 49322 , 16837 , 46 , 461 , 8 , 
2026610909 , 5 , Trundle , 1 , 0 , 1 , 0 , 7 , 11 , 4 , 10713 , 10125 , 84650 , 12126 , 62341 , 28013 , 25 , 640 , 9 , 
2026610909 , 6 , LeeSin , 0 , 0 , 0 , 0 , 8 , 3 , 7 , 9493 , 7875 , 63818 , 16301 , 41501 , 22677 , 42 , 287 , 10 , 
2026610909 , 7 , Darius , 0 , 0 , 0 , 0 , 0 , 1 , 10 , 6907 , 6350 , 55983 , 0 , 54889 , 23398 , 75 , 109 , 9 , 
2026610909 , 8 , Lux , 0 , 0 , 0 , 0 , 6 , 7 , 5 , 9693 , 8735 , 95027 , 80201 , 14486 , 10827 , 120 , 471 , 5 , 
2026610909 , 9 , Blitzcrank , 0 , 0 , 0 , 0 , 2 , 7 , 10 , 7853 , 7400 , 25519 , 15918 , 6622 , 22643 , 29 , 362 , 4 , 
2026610909 , 10 , Kayle , 0 , 0 , 0 , 0 , 3 , 4 , 8 , 8692 , 7850 , 83791 , 50171 , 32539 , 22367 , 130 , 82 , 4 , 
2026610910 , 1 , Garen , 0 , 0 , 0 , 0 , 5 , 1 , 5 , 9935 , 9350 , 79834 , 2927 , 75345 , 24002 , 149 , 112 , 8 , 
2026610910 , 2 , Illaoi , 0 , 0 , 0 , 0 , 0 , 4 , 7 , 6807 , 6700 , 74208 , 0 , 74208 , 21451 , 37 , 89 , 3 , 
2026610910 , 3 , Kindred , 0 , 1 , 0 , 0 , 7 , 5 , 3 , 11514 , 10825 , 112288 , 11004 , 100715 , 21678 , 181 , 132 , 12 , 
2026610910 , 4 , Varus , 0 , 0 , 0 , 0 , 3 , 5 , 7 , 9916 , 9350 , 100804 , 7942 , 92862 , 15853 , 154 , 136 , 11 , 
2026610910 , 5 , Udyr , 0 , 0 , 0 , 0 , 4 , 0 , 4 , 12108 , 10350 , 219278 , 122743 , 81591 , 25366 , 63 , 1312 , 5 , 
2026610910 , 6 , Yasuo , 1 , 0 , 0 , 0 , 11 , 1 , 6 , 12164 , 10900 , 123717 , 31208 , 92509 , 15335 , 147 , 103 , 9 , 
2026610910 , 7 , Volibear , 1 , 0 , 0 , 0 , 6 , 11 , 3 , 9895 , 8950 , 52550 , 23792 , 21546 , 29059 , 68 , 488 , 20 , 
2026610910 , 8 , Nunu , 1 , 0 , 0 , 1 , 1 , 9 , 3 , 8954 , 8275 , 86534 , 25059 , 30985 , 19501 , 40 , 1004 , 9 , 
2026610910 , 9 , Jinx , 1 , 0 , 0 , 0 , 7 , 11 , 5 , 11191 , 9600 , 95323 , 4371 , 88890 , 16489 , 176 , 226 , 2 , 
2026610910 , 10 , Nasus , 1 , 0 , 0 , 0 , 1 , 5 , 2 , 9822 , 8700 , 115309 , 15555 , 99753 , 23565 , 173 , 2165 , 9 , 
2026610911 , 1 , Diana , 0 , 0 , 0 , 0 , 8 , 9 , 5 , 12396 , 10750 , 154932 , 109286 , 32302 , 30974 , 33 , 600 , 13 , 
2026610911 , 2 , Fizz , 0 , 0 , 0 , 0 , 4 , 7 , 5 , 10645 , 9125 , 92597 , 61172 , 29986 , 20886 , 144 , 154 , 17 , 
2026610911 , 3 , Darius , 0 , 1 , 0 , 0 , 6 , 5 , 6 , 10906 , 10450 , 100243 , 300 , 97486 , 32108 , 141 , 160 , 13 , 
2026610911 , 4 , Ashe , 0 , 0 , 0 , 0 , 8 , 10 , 4 , 14057 , 13900 , 190887 , 7078 , 182349 , 21045 , 218 , 2003 , 17 , 
2026610911 , 5 , Malphite , 0 , 0 , 0 , 0 , 1 , 13 , 4 , 9994 , 9750 , 70506 , 34297 , 25559 , 22996 , 86 , 838 , 24 , 
2026610911 , 6 , Caitlyn , 1 , 0 , 0 , 0 , 5 , 9 , 7 , 13782 , 10450 , 161423 , 20013 , 141410 , 18152 , 194 , 61 , 6 , 
2026610911 , 7 , Ekko , 1 , 0 , 0 , 0 , 6 , 9 , 2 , 13962 , 11470 , 186121 , 123737 , 50438 , 26898 , 35 , 962 , 7 , 
2026610911 , 8 , Chogath , 1 , 0 , 0 , 0 , 6 , 12 , 2 , 13710 , 10910 , 158822 , 116511 , 21961 , 31361 , 199 , 544 , 18 , 
2026610911 , 9 , Volibear , 1 , 0 , 0 , 0 , 6 , 9 , 9 , 13300 , 11450 , 134299 , 64271 , 68515 , 55648 , 146 , 1042 , 11 , 
2026610911 , 10 , Morgana , 1 , 0 , 0 , 0 , 1 , 16 , 7 , 11424 , 9300 , 29978 , 20807 , 9170 , 19150 , 28 , 194 , 29 , 
2026610916 , 1 , Volibear , 0 , 0 , 0 , 0 , 4 , 12 , 10 , 11325 , 10575 , 123424 , 46911 , 62596 , 46753 , 34 , 1041 , 9 , 
2026610916 , 2 , Blitzcrank , 0 , 0 , 0 , 0 , 1 , 18 , 8 , 10008 , 9450 , 32209 , 22852 , 7173 , 28881 , 31 , 94 , 19 , 
2026610916 , 3 , Varus , 0 , 1 , 0 , 0 , 16 , 4 , 8 , 15888 , 15450 , 162908 , 24823 , 135864 , 20431 , 213 , 436 , 12 , 
2026610916 , 4 , Malzahar , 0 , 0 , 0 , 0 , 4 , 8 , 10 , 12348 , 11900 , 184638 , 127326 , 55654 , 24159 , 156 , 75 , 6 , 
2026610916 , 5 , Jax , 0 , 0 , 0 , 0 , 8 , 2 , 12 , 12477 , 12000 , 121244 , 44387 , 76857 , 32527 , 145 , 69 , 8 , 
2026610916 , 6 , Nidalee , 1 , 0 , 0 , 0 , 18 , 18 , 6 , 18102 , 18075 , 210436 , 178470 , 20848 , 29734 , 78 , 487 , 15 , 
2026610916 , 7 , KogMaw , 1 , 0 , 0 , 0 , 8 , 12 , 6 , 13877 , 12000 , 113668 , 12639 , 91428 , 17412 , 133 , 297 , 1 , 
2026610916 , 8 , Kassadin , 1 , 0 , 0 , 0 , 6 , 13 , 7 , 14843 , 12075 , 156268 , 106791 , 47914 , 27382 , 176 , 286 , 12 , 
2026610916 , 9 , Pantheon , 1 , 0 , 0 , 0 , 11 , 8 , 9 , 14222 , 12250 , 117805 , 22371 , 95250 , 25825 , 134 , 149 , 13 , 
2026610916 , 10 , Alistar , 1 , 0 , 0 , 0 , 5 , 28 , 5 , 14259 , 11975 , 46226 , 34802 , 9814 , 25432 , 28 , 1222 , 30 , 
2026610917 , 1 , Fiora , 0 , 0 , 0 , 0 , 2 , 0 , 7 , 9313 , 7750 , 91184 , 2735 , 86750 , 21137 , 164 , 71 , 7 , 
2026610917 , 2 , Amumu , 0 , 0 , 0 , 0 , 5 , 10 , 4 , 9794 , 9350 , 108205 , 81812 , 18406 , 22626 , 27 , 369 , 8 , 
2026610917 , 3 , Nami , 0 , 0 , 0 , 0 , 3 , 10 , 5 , 8514 , 7810 , 16974 , 11459 , 5226 , 14431 , 7 , 229 , 16 , 
2026610917 , 4 , Lucian , 0 , 0 , 0 , 0 , 5 , 3 , 3 , 11513 , 11350 , 142519 , 4029 , 138489 , 13107 , 238 , 13 , 12 , 
2026610917 , 5 , Fizz , 0 , 0 , 0 , 0 , 6 , 4 , 7 , 8877 , 8235 , 54813 , 39600 , 15213 , 18594 , 107 , 204 , 10 , 
2026610917 , 6 , Thresh , 1 , 0 , 0 , 0 , 2 , 11 , 3 , 8527 , 7250 , 24688 , 12980 , 9496 , 15174 , 31 , 138 , 16 , 
2026610917 , 7 , Zed , 1 , 1 , 0 , 0 , 3 , 10 , 7 , 10234 , 8725 , 95312 , 4585 , 88869 , 15602 , 135 , 51 , 7 , 
2026610917 , 8 , MissFortune , 1 , 0 , 0 , 0 , 0 , 10 , 3 , 10705 , 9350 , 122161 , 7247 , 114914 , 10300 , 193 , 57 , 11 , 
2026610917 , 9 , MasterYi , 1 , 0 , 0 , 0 , 10 , 4 , 6 , 14082 , 11550 , 206433 , 26553 , 158944 , 25782 , 85 , 1099 , 7 , 
2026610917 , 10 , Ryze , 1 , 0 , 0 , 0 , 11 , 4 , 2 , 13211 , 11450 , 123225 , 102713 , 20120 , 14566 , 193 , 86 , 15 , 
2026610922 , 1 , Nocturne , 0 , 0 , 0 , 0 , 3 , 5 , 8 , 7462 , 7275 , 80186 , 3906 , 69464 , 22544 , 14 , 443 , 6 , 
2026610922 , 2 , Viktor , 0 , 0 , 0 , 0 , 4 , 0 , 6 , 7718 , 6825 , 81894 , 68417 , 12907 , 12469 , 132 , 66 , 9 , 
2026610922 , 3 , Alistar , 0 , 0 , 0 , 0 , 2 , 0 , 2 , 5742 , 5250 , 15373 , 9179 , 4382 , 14843 , 29 , 300 , 5 , 
2026610922 , 4 , Lucian , 0 , 0 , 0 , 0 , 0 , 3 , 1 , 7565 , 6650 , 81830 , 1369 , 80460 , 11181 , 157 , 5 , 8 , 
2026610922 , 5 , Vladimir , 0 , 0 , 0 , 0 , 4 , 4 , 6 , 8480 , 8050 , 91441 , 83478 , 7962 , 21898 , 140 , 292 , 8 , 
2026610922 , 6 , MissFortune , 1 , 0 , 1 , 0 , 5 59056 , 19179 , 24959 , 109 , 462 , 7 , 
2026610924 , 8 , 0 , 0 , 0 , 0 , 0 , 2 , 5 , 7838 , 7100 , 89602 , 15514 , 74087 , 18103 , 145 , 248 , 9 , 
2026610924 , 9 , 0 , 0 , 0 , 0 , 3 , 2 , 10 , 8095 , 7625 , 70037 , 2581 , 67455 , 24142 , 127 , 26 , 8 , 
2026610924 , 10 , 0 , 0 , 0 , 0 , 2 , 3 , 5 , 7623 , 7435 , 32215 , 13814 , 13822 , 18504 , 52 , 312 , 3 , 
2026610926 , 1 , 1 , 0 , 0 , 0 , 12 , 7 , 9 , 15587 , 14150 , 168968 , 20285 , 132332 , 24904 , 191 , 507 , 8 , 
2026610926 , 2 , 1 , 0 , 0 , 0 , 13 , 5 , 7 , 14784 , 13425 , 173507 , 39279 , 126615 , 29254 , 62 , 708 , 31 , 
2026610926 , 3 , 1 , 0 , 0 , 0 , 5 , 10 , 11 , 12343 , 10550 , 105210 , 90470 , 13112 , 23268 , 109 , 690 , 9 , 
2026610926 , 4 , 1 , 0 , 1 , 0 , 13 , 7 , 6 , 15426 , 13250 , 152337 , 3570 , 141637 , 38327 , 191 , 171 , 4 , 
2026610926 , 5 , 1 , 0 , 0 , 0 , 6 , 13 , 7 , 11867 , 10900 , 47768 , 34762 , 8857 , 28848 , 42 , 778 , 11 , 
2026610926 , 6 , 0 , 1 , 0 , 0 , 15 , 16 , 11 , 14415 , 14400 , 123530 , 0 , 120434 , 35891 , 140 , 6349 , 7 , 
2026610926 , 7 , 0 , 0 , 0 , 0 , 11 , 9 , 8 , 13274 , 13100 , 156597 , 22558 , 114517 , 35527 , 59 , 3357 , 7 , 
2026610926 , 8 , 0 , 0 , 0 , 0 , 7 , 4 , 14 , 11988 , 11000 , 139405 , 54101 , 71752 , 28355 , 171 , 1554 , 8 , 
2026610926 , 9 , 0 , 0 , 0 , 0 , 5 , 18 , 9 , 11971 , 11000 , 99082 , 91025 , 7350 , 15895 , 81 , 1891 , 10 , 
2026610926 , 10 , 0 , 0 , 0 , 0 , 2 , 13 , 7 , 9726 , 9400 , 76379 , 13531 , 61784 , 31923 , 73 , 4502 , 6 , 
